id,addr_state,annual_inc,emp_length,emp_title,home_ownership,installment,loan_amnt,purpose,term,int_rate,avg_cur_bal,inq_last_12m,max_bal_bc,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status
802173,CA,72000,3 years,CA. Dept. Of Corrections,MORTGAGE,395.66,12000,debt_consolidation, 36 months,11.49%,,,,,,,,,,,,,,,16,,0,23,,Fully Paid
14518910,TX,97500,1 year,Curriculum & Implementation Manager,RENT,966.47,35000,debt_consolidation, 60 months,21.99%,7019,,,148,170,28,9,4,,14,2,12,0,1,13,87.5,0,24,84227,Fully Paid
54333324,NY,120000,1 year,Senior manager ,RENT,806.57,25000,credit_card, 36 months,9.99%,4891,,,128,147,80,11,0,53,11,2,7,0,1,8,100,0,16,39124,Fully Paid
62247022,CA,130000,10+ years,Border Patrol Agent,RENT,846.17,25225,debt_consolidation, 36 months,12.69%,17619,,,130,172,68,2,4,41,9,9,3,0,2,8,50,0,24,123331,Fully Paid
71986114,TX,58296,10+ years,Account Manager,MORTGAGE,41.79,1200,other, 36 months,15.31%,12321,1,10372,167,145,18,18,1,,7,7,6,0,0,9,100,0,17,51794,Fully Paid
46733394,VA,87000,< 1 year,Supply Tech,RENT,629.47,24000,credit_card, 60 months,19.52%,5896,,,354,100,1,1,2,27,13,12,19,0,6,24,77.8,0,42,50912,Charged Off
9066241,FL,187000,1 year,Senior Vice President,MORTGAGE,833.15,24000,home_improvement, 36 months,15.10%,17914,,,145,226,3,2,2,2,13,9,13,0,8,17,0,0,40,102369,Fully Paid
4277717,VA,119000,10+ years,HHS Office on Women's Health,MORTGAGE,479,21000,debt_consolidation, 60 months,13.11%,47052,,,167,165,5,5,6,54,6,4,9,0,2,12,66.7,0,26,84403,Fully Paid
74835696,CA,39500,8 years,senior banker,RENT,272.15,8000,debt_consolidation, 36 months,13.67%,533,2,2810,,187,2,2,0,,4,0,9,0,8,9,0,0,9,4795,Fully Paid
67456858,CA,55000,5 years,Research Facilities Coordinator II,RENT,492.23,20000,debt_consolidation, 60 months,16.55%,6957,4,1470,126,53,2,1,0,,3,17,6,2,5,9,0,1,24,62619,Fully Paid
96352348,PA,81000,8 years,Teacher,MORTGAGE,503.16,16000,credit_card, 36 months,8.24%,12658,4,12203,207,202,31,5,3,50,12,36,11,0,2,18,71.4,0,66,131604,Fully Paid
77292499,WI,45000,10+ years,Asst Corp Sec,MORTGAGE,505.93,16800,debt_consolidation, 36 months,5.32%,19140,1,13653,87,165,22,11,5,,4,5,4,0,1,5,0,0,20,14194,Fully Paid
